X.ID,MATID,MAT,Ag_ppb,As_ash,B,Ba,Ca,Cd,Co,Cr,Cu,Fe,Hg_ppb,K,La,LOI,Mg,Mn,Mo,Ni,P,Pb,S,Sb,Sr,Ti,Zn
108,ROG108,ROG,-1.94E+00,1.92E-01,9.59E-01,1.68E+00,1.47E+00,-4.24E-01,-2.68E-01,-1.11E+00,-1.85E-04,2.76E-01,3.71E-01,1.04E+00,5.76E-01,-1.40E+00,1.15E+00,6.51E-01,3.40E-01,1.87E+00,8.20E-01,-7.82E-01,2.06E-01,-9.27E-01,1.38E+00,4.58E-01,-1.21E+00
109,ROG109,ROG,-1.94E+00,4.54E-01,1.13E+00,1.90E+00,1.59E+00,-5.46E-01,-3.70E-01,3.29E-02,3.56E-01,7.92E-01,4.14E-01,1.01E+00,8.06E-01,-1.58E+00,1.17E+00,2.35E-01,2.21E-01,1.56E+00,8.36E-01,-6.45E-01,3.43E-01,-9.27E-01,1.20E+00,5.78E-01,-1.11E+00
111,ROG111,ROG,-1.94E+00,8.41E-01,1.13E+00,1.11E+00,1.75E+00,-5.46E-01,-4.84E-01,-6.89E-01,6.84E-01,4.07E-01,4.14E-01,9.87E-01,7.05E-01,-1.92E+00,1.05E+00,2.16E-01,6.89E-01,8.09E-01,6.69E-01,-6.20E-01,5.72E-01,-2.46E-01,1.73E+00,3.19E-01,-5.10E-01
113,ROG113,ROG,-1.94E+00,7.86E-01,1.05E+00,1.17E+00,1.58E+00,-1.00E+00,-9.39E-01,-3.10E-01,2.88E-01,5.21E-01,4.95E-01,1.03E+00,1.73E-01,-1.55E+00,1.33E+00,2.14E-01,5.34E-01,9.22E-01,5.38E-01,-7.82E-01,4.64E-01,-9.27E-01,1.49E+00,3.19E-01,-1.48E+00
143,ROG143,ROG,-1.49E+00,5.29E-01,1.21E+00,7.65E-01,1.27E+00,-1.00E+00,1.88E-01,1.15E+00,5.34E-01,7.11E-01,7.01E-01,8.66E-01,6.45E-02,-1.18E+00,1.64E+00,9.14E-02,8.10E-02,5.99E-01,9.97E-01,8.05E-02,5.72E-01,-2.46E-01,1.40E+00,7.79E-01,-1.22E+00
106,ROG106,ROG,-1.94E+00,6.65E-01,1.09E+00,1.05E+00,1.49E+00,-2.09E+00,-1.34E-02,-3.10E-01,5.24E-01,5.21E-01,2.77E-01,9.56E-01,3.69E-01,-1.29E+00,1.39E+00,-2.17E-02,-9.10E-02,1.66E+00,5.38E-01,-8.12E-01,7.58E-01,-2.46E-01,9.04E-01,3.19E-01,-1.14E+00
107,ROG107,ROG,-1.49E+00,3.73E-01,1.05E+00,1.34E+00,1.52E+00,-1.20E+00,-1.75E-01,3.29E-02,8.99E-01,8.66E-01,5.69E-01,1.03E+00,1.73E-01,-1.44E+00,1.28E+00,4.37E-01,8.10E-02,1.89E+00,5.32E-01,-8.12E-01,7.58E-01,-2.46E-01,1.14E+00,3.19E-01,-1.14E+00
114,ROG114,ROG,-1.94E+00,4.54E-01,1.01E+00,1.19E+00,1.41E+00,-5.46E-01,4.96E-01,-1.11E+00,-6.46E-02,4.07E-01,2.77E-01,8.02E-01,3.69E-01,-1.21E+00,1.29E+00,1.36E+00,1.32E+00,5.15E-01,8.95E-01,-3.17E-01,4.64E-01,-2.46E-01,1.66E+00,5.78E-01,-9.92E-01
118,ROG118,ROG,-1.49E+00,8.86E-02,1.09E+00,1.15E+00,1.31E+00,-2.09E-01,6.95E-01,-1.11E+00,8.05E-01,7.92E-01,8.68E-01,8.53E-01,5.97E-01,-9.57E-01,1.22E+00,1.39E+00,8.74E-01,9.48E-01,7.50E-01,-1.62E-01,4.64E-01,-2.46E-01,1.83E+00,4.58E-01,-6.26E-01
112,ROG112,ROG,-2.70E+00,4.54E-01,9.59E-01,8.92E-01,1.52E+00,-6.81E-01,1.88E-01,-6.89E-01,7.09E-01,6.21E-01,4.14E-01,9.92E-01,6.45E-02,-1.40E+00,1.18E+00,8.81E-01,1.22E+00,7.45E-01,7.46E-01,-7.82E-01,6.69E-01,-2.46E-01,9.80E-01,4.58E-01,-1.07E+00
102,ROG102,ROG,-2.70E+00,2.87E-01,1.09E+00,1.41E+00,1.64E+00,-4.24E-01,-1.34E-02,-6.89E-01,7.12E-01,4.07E-01,4.14E-01,9.87E-01,4.57E-01,-1.58E+00,1.26E+00,8.30E-01,8.17E-01,4.19E-01,6.84E-01,-5.73E-01,5.72E-01,4.36E-01,1.29E+00,3.19E-01,-2.68E-01
103,ROG103,ROG,-2.70E+00,5.29E-01,1.01E+00,1.43E+00,1.69E+00,-4.24E-01,2.46E-01,-6.89E-01,6.01E-01,5.21E-01,4.56E-01,5.25E-01,6.71E-01,-1.47E+00,1.37E+00,1.11E+00,1.02E+00,7.77E-01,4.09E-01,-5.96E-01,4.82E-02,-2.46E-01,1.26E+00,1.54E-01,-7.63E-01
101,ROG101,ROG,-1.94E+00,3.73E-01,9.10E-01,1.16E+00,1.63E+00,-8.32E-01,5.84E-02,-3.10E-01,1.20E+00,2.76E-01,5.33E-01,1.11E+00,2.19E-01,-1.73E+00,1.33E+00,1.34E-01,1.49E+00,2.49E-01,6.33E-01,-4.25E-01,4.64E-01,4.36E-01,1.30E+00,3.19E-01,-1.02E+00
104,ROG104,ROG,-1.94E+00,1.92E-01,1.05E+00,1.02E+00,1.48E+00,-1.20E+00,-1.75E-01,-1.59E+00,7.15E-01,4.07E-01,4.14E-01,9.87E-01,-1.70E-04,-1.40E+00,1.47E+00,7.39E-01,1.11E+00,3.67E-01,4.02E-01,-3.34E-01,4.64E-01,1.53E-01,1.32E+00,-4.69E-02,-1.24E+00
105,ROG105,ROG,-1.49E+00,-2.58E-02,1.05E+00,1.28E+00,1.46E+00,-8.32E-01,5.84E-02,-6.89E-01,2.37E-01,6.21E-01,6.04E-01,9.12E-01,5.32E-01,-1.21E+00,1.50E+00,7.07E-01,6.89E-01,4.19E-01,7.41E-01,-2.83E-01,2.06E-01,1.53E-01,1.55E+00,4.58E-01,-1.45E+00
117,ROG117,ROG,-1.94E+00,7.86E-01,9.59E-01,1.33E+00,1.72E+00,2.77E-01,-1.75E-01,-3.10E-01,5.78E-01,2.76E-01,5.33E-01,9.24E-01,1.61E+00,-1.81E+00,1.09E+00,1.36E+00,1.81E+00,1.24E+00,5.08E-01,-6.20E-01,6.69E-01,-2.46E-01,1.32E+00,1.54E-01,-2.73E-01
119,ROG119,ROG,-1.94E+00,7.27E-01,1.01E+00,1.48E+00,1.43E+00,5.69E-02,-1.34E-02,-3.10E-01,4.72E-01,5.21E-01,5.69E-01,7.68E-01,1.29E+00,-1.03E+00,1.06E+00,1.46E+00,1.84E+00,9.97E-01,1.03E+00,-2.51E-01,4.64E-01,1.53E-01,1.35E+00,7.79E-01,-5.03E-01
121,ROG121,ROG,-1.94E+00,9.45E-01,9.10E-01,1.27E+00,1.57E+00,-1.14E-01,-3.70E-01,-1.59E+00,1.64E-01,5.21E-01,3.71E-01,5.83E-01,3.69E-01,-1.29E+00,1.50E+00,4.73E-01,1.58E+00,1.83E-01,1.26E+00,1.48E-02,2.06E-01,-2.46E-01,2.14E+00,1.02E+00,-7.89E-01
122,ROG122,ROG,-1.94E+00,8.86E-02,1.01E+00,1.58E+00,1.36E+00,5.69E-02,-9.39E-01,-6.89E-01,5.24E-01,6.21E-01,7.31E-01,1.04E+00,2.61E-01,-1.32E+00,1.11E+00,1.66E+00,1.60E+00,1.10E-01,1.45E+00,6.99E-02,6.69E-01,-2.46E-01,1.85E+00,1.20E+00,-1.33E+00
126,ROG126,ROG,-1.18E+00,2.87E-01,1.13E+00,9.62E-01,1.18E+00,-2.09E-01,-4.84E-01,-1.11E+00,7.12E-01,7.11E-01,6.38E-01,1.01E+00,8.90E-01,-1.18E+00,1.05E+00,2.20E+00,1.22E+00,6.76E-01,7.13E-01,-8.28E-03,5.72E-01,4.36E-01,1.14E+00,4.58E-01,-1.33E+00
131,ROG131,ROG,-1.49E+00,2.87E-01,9.59E-01,9.74E-01,1.23E+00,-2.09E-01,-3.70E-01,-6.89E-01,5.10E-01,7.11E-01,6.38E-01,8.15E-01,5.08E-01,-9.94E-01,1.02E+00,2.05E+00,2.01E+00,5.15E-01,1.05E+00,3.73E-02,5.72E-01,4.36E-01,1.08E+00,8.65E-01,-1.54E+00
125,ROG125,ROG,-1.49E+00,1.92E-01,1.01E+00,7.00E-01,1.26E+00,-3.12E-01,-1.16E+00,-3.10E-01,7.96E-01,6.21E-01,4.56E-01,1.06E+00,1.27E+00,-1.18E+00,1.16E+00,7.46E-01,7.56E-01,4.19E-01,7.36E-01,1.11E-01,7.58E-01,4.36E-01,1.11E+00,4.58E-01,-9.61E-01
123,ROG123,ROG,-1.94E+00,8.86E-02,1.25E+00,8.91E-01,1.33E+00,-2.59E-02,-6.13E-01,-1.11E+00,5.44E-01,4.07E-01,5.69E-01,8.89E-01,1.24E+00,-1.10E+00,1.23E+00,1.23E+00,8.74E-01,4.68E-01,4.70E-01,-1.62E-01,5.72E-01,-2.46E-01,1.67E+00,3.19E-01,-1.02E+00
124,ROG124,ROG,-1.94E+00,8.86E-02,1.21E+00,1.18E+00,1.43E+00,-3.12E-01,-7.62E-01,-6.89E-01,7.63E-01,7.11E-01,7.31E-01,9.92E-01,6.71E-01,-1.29E+00,1.17E+00,1.16E+00,1.32E+00,2.97E-02,7.94E-01,-3.17E-01,6.69E-01,-2.46E-01,1.70E+00,5.78E-01,-1.03E+00
127,ROG127,ROG,-7.35E-01,1.92E-01,1.05E+00,3.54E-01,1.45E+00,6.29E-01,7.30E-01,3.29E-02,2.61E-01,5.21E-01,4.14E-01,8.72E-01,3.69E-01,-1.07E+00,1.03E+00,4.48E-01,1.58E+00,1.42E+00,4.02E-01,2.42E-01,4.64E-01,6.56E-01,1.53E+00,3.19E-01,2.80E-02
133,ROG133,ROG,-9.35E-01,5.99E-01,1.25E+00,8.28E-01,1.24E+00,-4.24E-01,1.25E-01,3.29E-02,6.36E-01,9.98E-01,5.69E-01,1.04E+00,5.32E-01,-1.07E+00,1.32E+00,1.20E-01,1.07E+00,4.68E-01,1.03E+00,1.61E-01,4.64E-01,9.87E-01,1.12E+00,1.02E+00,-7.33E-01
135,ROG135,ROG,-1.18E+00,5.29E-01,1.21E+00,6.16E-01,1.23E+00,-5.46E-01,-9.09E-02,3.29E-02,1.43E-01,9.98E-01,5.69E-01,7.39E-01,5.08E-01,-9.21E-01,1.50E+00,6.21E-01,5.34E-01,3.67E-01,7.36E-01,1.89E-01,3.43E-01,8.35E-01,8.72E-01,8.65E-01,-1.51E+00
128,ROG128,ROG,-1.49E+00,5.99E-01,1.25E+00,1.34E+00,1.61E+00,-4.24E-01,4.04E-01,3.29E-02,9.05E-01,1.16E+00,7.60E-01,9.40E-01,1.35E+00,-1.70E+00,1.42E+00,8.76E-01,9.28E-01,1.44E+00,6.89E-01,3.56E-01,5.72E-01,1.34E+00,1.68E+00,8.65E-01,-1.08E+00
132,ROG132,ROG,-1.49E+00,1.92E-01,9.59E-01,5.67E-01,1.34E+00,-5.46E-01,5.84E-02,-3.10E-01,6.20E-01,8.66E-01,6.04E-01,9.29E-01,7.51E-01,-1.03E+00,1.09E+00,5.34E-01,9.77E-01,1.17E+00,3.74E-01,-8.17E-02,5.72E-01,1.12E+00,1.25E+00,5.78E-01,-1.40E-01
129,ROG129,ROG,-1.94E+00,-2.58E-02,9.10E-01,-1.17E-01,1.22E+00,-1.20E+00,1.88E-01,-6.89E-01,2.13E-01,8.66E-01,3.71E-01,9.01E-01,1.73E-01,-1.07E+00,1.30E+00,1.59E+00,1.66E+00,4.68E-01,4.95E-01,-8.17E-02,6.69E-01,6.56E-01,6.48E-01,3.19E-01,-1.18E+00
141,ROG141,ROG,-1.94E+00,5.99E-01,1.17E+00,1.34E-01,1.56E+00,-3.12E-01,1.25E-01,3.29E-02,-3.21E-02,7.11E-01,6.38E-01,8.28E-01,6.54E-01,-1.51E+00,1.46E+00,1.26E+00,1.15E+00,2.49E-01,4.02E-01,-6.97E-01,5.72E-01,-2.46E-01,5.35E-01,3.19E-01,-1.33E+00
137,ROG137,ROG,-9.35E-01,6.65E-01,1.21E+00,7.17E-01,1.16E+00,-5.46E-01,3.54E-01,-3.10E-01,8.91E-01,7.92E-01,7.60E-01,9.56E-01,9.32E-01,-1.07E+00,1.37E+00,1.06E+00,8.74E-01,7.11E-01,1.16E+00,-8.28E-03,4.64E-01,1.53E-01,1.47E+00,9.43E-01,-1.41E+00
144,ROG144,ROG,-7.35E-01,5.29E-01,1.31E+00,9.12E-01,1.33E+00,-3.12E-01,1.19E+00,3.29E-02,8.60E-01,9.98E-01,1.03E+00,7.68E-01,5.08E-01,-1.14E+00,1.63E+00,1.27E+00,3.40E-01,6.38E-01,1.03E+00,3.25E-01,8.40E-01,1.53E-01,1.63E+00,8.65E-01,-1.10E+00
136,ROG136,ROG,-1.49E+00,5.29E-01,1.13E+00,1.04E+00,1.19E+00,-1.44E+00,4.96E-01,-6.89E-01,5.41E-01,7.11E-01,7.01E-01,8.83E-01,5.08E-01,-9.94E-01,1.27E+00,1.48E+00,1.49E+00,5.99E-01,1.26E+00,-2.21E-01,4.64E-01,1.53E-01,1.45E+00,1.02E+00,-1.46E+00
142,ROG142,ROG,-1.18E+00,1.92E-01,1.09E+00,8.72E-01,1.23E+00,-4.24E-01,-9.09E-02,-3.10E-01,1.76E-01,8.66E-01,6.38E-01,7.61E-01,7.65E-01,-9.57E-01,1.52E+00,1.62E+00,9.77E-01,4.19E-01,1.02E+00,-5.65E-02,6.69E-01,-2.46E-01,1.14E+00,7.79E-01,-1.56E+00
138,ROG138,ROG,-1.94E+00,2.87E-01,1.09E+00,9.31E-01,1.26E+00,-4.24E-01,3.02E-01,3.29E-02,5.58E-01,7.11E-01,6.38E-01,9.40E-01,7.65E-01,-1.14E+00,1.42E+00,1.63E+00,1.15E+00,5.99E-01,8.28E-01,4.83E-02,6.69E-01,-2.46E-01,1.36E+00,5.78E-01,-1.32E+00
139,ROG139,ROG,-1.49E+00,2.87E-01,1.25E+00,6.13E-01,1.30E+00,-8.32E-01,4.96E-01,3.29E-02,6.93E-01,9.98E-01,7.89E-01,9.87E-01,4.83E-01,-1.29E+00,1.46E+00,1.53E+00,1.02E+00,3.10E-01,8.68E-01,-9.45E-02,7.58E-01,-2.46E-01,1.28E+00,8.65E-01,-1.29E+00
106,FER106,FER,1.29E+00,2.87E-01,1.13E+00,2.08E+00,6.05E-01,-1.20E+00,-9.09E-02,1.15E+00,1.35E-01,2.76E-01,6.38E-01,1.17E+00,1.82E+00,-1.88E+00,1.53E+00,-1.06E+00,-6.25E-01,3.67E-01,6.54E-01,-6.45E-01,1.17E+00,-2.46E-01,7.87E-01,1.54E-01,-7.71E-01
108,FER108,FER,1.57E+00,6.65E-01,8.57E-01,1.97E+00,3.75E-01,-1.72E+00,-1.75E-01,3.46E-01,-6.54E-01,1.20E-01,7.31E-01,1.30E+00,2.27E+00,-2.15E+00,1.08E+00,-1.43E+00,-3.13E-01,4.19E-01,4.09E-01,-9.45E-01,8.40E-01,-2.46E-01,2.50E-01,-4.69E-02,-1.50E+00
107,FER107,FER,6.37E-01,5.99E-01,8.02E-01,1.97E+00,5.60E-01,-2.61E+00,-6.13E-01,6.34E-01,1.93E-01,6.21E-01,9.87E-01,1.24E+00,2.02E+00,-1.62E+00,1.10E+00,-1.47E+00,7.56E-01,-8.08E-01,6.94E-01,-8.76E-01,1.12E+00,-2.46E-01,2.12E+00,3.19E-01,-1.16E+00
111,FER111,FER,5.27E-01,-1.54E-01,8.02E-01,1.80E+00,4.97E-01,-1.44E+00,-1.16E+00,6.34E-01,-1.17E-01,4.07E-01,6.04E-01,1.21E+00,2.47E+00,-1.81E+00,1.40E+00,-1.31E+00,2.21E-01,-1.12E+00,5.20E-01,-4.65E-01,9.87E-01,-9.27E-01,2.92E+00,1.54E-01,-6.38E-01
112,FER112,FER,2.68E-01,1.92E-01,8.57E-01,1.97E+00,4.81E-01,-1.44E+00,-1.16E+00,9.00E-01,2.21E-01,2.76E-01,8.93E-01,8.22E-01,2.22E+00,-1.21E+00,1.58E+00,-1.28E+00,8.74E-01,-1.12E+00,4.70E-01,-3.51E-01,1.05E+00,-2.46E-01,2.45E+00,1.54E-01,-1.24E+00
109,FER109,FER,1.03E+00,-2.99E-01,8.02E-01,2.06E+00,4.97E-01,-5.46E-01,-4.84E-01,6.34E-01,2.80E-01,2.76E-01,1.11E+00,1.09E+00,2.25E+00,-1.77E+00,1.54E+00,-1.64E+00,8.74E-01,-1.62E-01,6.94E-01,-8.76E-01,9.87E-01,-2.46E-01,1.06E+00,3.19E-01,-8.37E-01
113,FER113,FER,2.68E-01,7.86E-01,1.17E+00,1.84E+00,6.88E-01,-1.20E+00,-6.13E-01,6.34E-01,-7.74E-01,2.76E-01,8.68E-01,1.05E+00,2.34E+00,-1.92E+00,1.45E+00,-1.11E+00,2.21E-01,-5.89E-01,1.65E-01,-8.43E-01,7.58E-01,-2.46E-01,1.38E+00,-4.69E-02,-9.66E-01
141,FER141,FER,1.65E+00,5.99E-01,8.02E-01,1.63E+00,5.75E-01,-1.20E+00,-3.70E-01,3.46E-01,3.60E-01,2.76E-01,9.18E-01,7.46E-01,2.14E+00,-1.66E+00,1.47E+00,-6.17E-01,6.15E-01,-8.08E-01,4.57E-01,-5.96E-01,9.16E-01,-2.46E-01,1.97E+00,-4.69E-02,-1.19E+00
134,ROG134,ROG,-9.35E-01,8.41E-01,1.44E+00,7.97E-01,1.46E+00,-2.09E-01,1.52E+00,9.00E-01,1.66E+00,1.89E+00,9.18E-01,1.22E+00,1.20E+00,-1.88E+00,1.49E+00,6.01E-01,1.54E+00,1.09E+00,9.84E-01,4.94E-01,6.69E-01,2.90E+00,1.52E+00,1.57E+00,-2.37E-01
101,FER101,FER,1.40E+00,-1.54E-01,6.12E-01,1.70E+00,5.75E-01,-8.32E-01,8.28E-01,6.34E-01,8.11E-01,2.76E-01,9.65E-01,1.01E+00,2.18E+00,-1.40E+00,1.23E+00,-7.46E-01,5.34E-01,-5.89E-01,8.48E-01,-5.06E-01,1.17E+00,3.78E+00,1.31E+00,4.58E-01,-1.10E+00
134,FER134,FER,9.52E-01,2.87E-01,1.05E+00,1.73E+00,7.52E-01,-6.81E-01,2.55E+00,6.34E-01,7.15E-01,1.30E+00,1.29E+00,1.75E+00,2.09E+00,-3.58E+00,1.02E+00,-2.32E-01,1.26E+00,2.49E-01,2.29E-01,2.51E-01,2.06E-01,2.35E+00,1.36E+00,9.43E-01,2.02E-01
116,FER116,FER,1.54E+00,-4.66E-01,8.57E-01,1.99E+00,7.99E-01,-8.32E-01,2.34E+00,3.29E-02,9.35E-01,9.34E-01,1.40E+00,1.66E+00,2.77E+00,-3.69E+00,1.59E+00,-1.98E-02,6.89E-01,9.97E-01,1.06E+00,-1.34E-01,1.23E+00,6.56E-01,1.75E+00,7.79E-01,-4.11E-01
128,FER128,FER,1.03E+00,-2.58E-02,9.59E-01,2.32E+00,7.52E-01,-5.46E-01,1.37E+00,3.29E-02,4.47E-01,7.11E-01,1.32E+00,1.54E+00,2.64E+00,-2.87E+00,1.06E+00,-1.11E+00,5.34E-01,5.15E-01,6.69E-01,-6.90E-02,5.72E-01,1.12E+00,1.54E+00,4.58E-01,-6.41E-01
126,FER126,FER,1.54E+00,-1.66E+00,1.13E+00,1.67E+00,6.05E-01,-1.72E+00,1.88E-01,-1.11E+00,7.07E-02,1.20E-01,8.93E-01,1.10E+00,2.20E+00,-1.96E+00,1.09E+00,3.25E-01,1.11E+00,-1.62E-01,4.37E-01,1.11E+00,6.69E-01,6.56E-01,8.41E-01,1.54E-01,-4.76E-01
125,FER125,FER,9.91E-01,-2.99E-01,8.02E-01,1.57E+00,6.05E-01,-1.44E+00,-6.13E-01,3.29E-02,2.09E-01,2.76E-01,1.03E+00,1.18E+00,2.66E+00,-2.07E+00,1.18E+00,-6.83E-01,9.28E-01,-5.89E-01,5.26E-01,6.24E-01,8.40E-01,6.56E-01,1.40E+00,1.54E-01,-1.70E-01
131,FER131,FER,6.88E-01,-1.54E-01,6.12E-01,1.25E+00,1.16E-01,-1.72E+00,3.02E-01,-3.10E-01,4.19E-01,6.21E-01,1.43E+00,1.22E+00,2.22E+00,-1.62E+00,7.25E-01,-4.51E-01,1.56E+00,2.97E-02,6.01E-01,3.17E-01,3.43E-01,6.56E-01,5.90E-01,3.19E-01,-1.97E-01
123,FER123,FER,1.96E+00,-4.66E-01,6.80E-01,1.90E+00,8.22E-01,-1.20E+00,-3.70E-01,3.29E-02,2.80E-01,5.21E-01,1.27E+00,1.26E+00,2.31E+00,-1.81E+00,1.17E+00,2.81E-01,1.41E+00,-8.08E-01,3.05E-01,3.40E-01,7.58E-01,8.35E-01,2.51E+00,-4.69E-02,-4.86E-01
124,FER124,FER,1.52E+00,-2.99E-01,7.43E-01,2.06E+00,7.14E-01,-2.09E-01,-6.13E-01,-6.89E-01,4.47E-01,4.07E-01,1.33E+00,1.10E+00,2.22E+00,-1.44E+00,1.04E+00,-3.32E-01,1.44E+00,-8.08E-01,4.83E-01,6.99E-02,8.40E-01,4.36E-01,1.97E+00,1.54E-01,2.13E-01
115,FER115,FER,3.39E-01,-6.64E-01,5.38E-01,1.78E+00,4.47E-01,-1.20E+00,5.84E-02,3.29E-02,7.51E-01,2.76E-01,9.18E-01,6.94E-01,2.17E+00,-8.12E-01,9.90E-01,1.86E-01,2.00E+00,2.49E-01,9.02E-01,-5.06E-01,1.17E+00,1.53E-01,1.61E+00,4.58E-01,-5.31E-01
121,FER121,FER,1.69E+00,-1.54E-01,5.38E-01,1.55E+00,4.29E-01,-1.20E+00,-1.34E-02,-3.10E-01,3.82E-01,2.76E-01,1.13E+00,8.47E-01,1.93E+00,-1.25E+00,1.37E+00,-3.57E-01,1.70E+00,-8.08E-01,8.91E-01,-1.08E-01,9.87E-01,4.36E-01,1.35E+00,5.78E-01,-9.27E-01
122,FER122,FER,1.20E+00,-4.66E-01,8.02E-01,2.34E+00,9.09E-01,-1.44E+00,-1.34E-02,3.46E-01,4.04E-01,5.21E-01,1.05E+00,9.97E-01,1.93E+00,-2.03E+00,1.27E+00,-7.29E-02,1.35E+00,-4.18E-01,9.70E-01,2.85E-01,9.87E-01,1.53E-01,1.75E+00,5.78E-01,-8.33E-01
139,FER139,FER,1.13E+00,4.54E-01,6.80E-01,1.42E+00,4.29E-01,-2.61E+00,1.10E+00,-3.10E-01,5.91E-01,4.07E-01,1.09E+00,8.02E-01,2.23E+00,-1.58E+00,1.33E+00,-5.42E-01,8.74E-01,1.83E-01,7.27E-01,-6.90E-02,9.16E-01,-2.46E-01,9.37E-01,3.19E-01,-8.83E-01
114,FER114,FER,1.50E+00,3.73E-01,1.09E+00,2.42E+00,5.75E-01,-2.09E+00,1.31E+00,3.46E-01,-5.00E-01,4.07E-01,9.65E-01,1.12E+00,2.30E+00,-2.11E+00,8.30E-01,-4.79E-01,1.49E+00,-1.62E-01,4.50E-01,-9.45E-02,6.69E-01,1.53E-01,1.64E+00,1.54E-01,-8.42E-01
117,FER117,FER,1.23E+00,-6.64E-01,9.10E-01,2.06E+00,3.36E-01,-1.72E+00,1.56E+00,3.46E-01,1.01E-01,4.07E-01,1.01E+00,1.16E+00,2.42E+00,-1.81E+00,1.24E+00,-5.25E-01,1.58E+00,3.67E-01,5.95E-01,-6.20E-01,9.16E-01,-2.46E-01,1.51E+00,1.54E-01,-9.71E-01
138,FER138,FER,4.05E-01,-6.64E-01,6.12E-01,1.15E+00,5.60E-01,-8.32E-01,1.53E+00,-3.10E-01,6.87E-01,5.21E-01,1.56E+00,1.27E+00,2.21E+00,-2.03E+00,9.17E-01,1.72E-01,1.22E+00,-4.18E-01,5.08E-01,-3.00E-01,6.69E-01,1.53E-01,6.31E-01,3.19E-01,-1.75E-01
144,FER144,FER,5.27E-01,-1.54E-01,8.02E-01,1.75E+00,7.14E-01,-1.72E+00,3.28E+00,-1.11E+00,7.66E-01,2.76E-01,1.13E+00,1.04E+00,1.86E+00,-2.30E+00,1.38E+00,2.23E-01,4.43E-01,3.10E-01,3.88E-01,-3.17E-01,8.40E-01,4.36E-01,1.57E+00,-4.69E-02,-5.45E-01
133,FER133,FER,9.52E-01,5.29E-01,1.17E+00,1.40E+00,4.11E-01,-2.09E+00,9.73E-01,3.46E-01,-9.76E-02,5.21E-01,1.20E+00,1.32E+00,2.12E+00,-2.72E+00,1.14E+00,-1.57E+00,3.40E-01,-2.79E-01,2.02E-01,1.80E-01,4.82E-02,8.35E-01,7.48E-01,1.54E-01,-8.42E-01
135,FER135,FER,9.12E-01,8.86E-02,1.05E+00,1.68E+00,7.14E-01,-2.61E+00,1.00E+00,3.29E-02,6.49E-01,7.11E-01,1.24E+00,1.18E+00,2.27E+00,-2.03E+00,1.39E+00,-2.83E+00,6.89E-01,-2.79E-01,6.44E-01,3.93E-01,7.58E-01,4.36E-01,1.14E+00,4.58E-01,-8.69E-01
129,FER129,FER,1.32E+00,-6.64E-01,1.01E+00,1.59E+00,4.81E-01,-1.20E+00,1.96E+00,3.29E-02,-1.38E-02,4.07E-01,1.24E+00,8.34E-01,2.03E+00,-2.03E+00,1.45E+00,-5.09E-01,1.02E+00,7.45E-01,2.20E-01,4.94E-01,3.43E-01,6.56E-01,1.27E+00,-4.69E-02,5.50E-01
132,FER132,FER,1.20E+00,-2.99E-01,7.43E-01,1.51E+00,3.17E-01,-1.20E+00,1.05E+00,-3.10E-01,-1.80E-01,4.07E-01,9.65E-01,1.22E+00,2.13E+00,-2.11E+00,9.95E-01,-9.59E-01,8.74E-01,7.77E-01,2.02E-01,3.40E-01,4.64E-01,8.35E-01,9.53E-01,-4.69E-02,4.06E-01
136,FER136,FER,1.54E+00,-2.58E-02,9.10E-01,1.67E+00,4.81E-01,-1.20E+00,2.46E-01,3.29E-02,1.39E-01,7.11E-01,1.09E+00,1.29E+00,2.00E+00,-2.07E+00,8.73E-01,-1.22E+00,6.89E-01,-6.01E-02,6.06E-01,1.09E+00,4.64E-01,4.36E-01,1.06E+00,3.19E-01,-4.80E-01
137,FER137,FER,1.47E+00,2.87E-01,8.57E-01,1.65E+00,4.29E-01,-6.81E-01,1.44E+00,3.29E-02,3.15E-01,6.21E-01,1.13E+00,1.18E+00,2.16E+00,-2.11E+00,1.06E+00,-1.36E+00,7.56E-01,4.19E-01,7.23E-01,8.73E-01,6.69E-01,1.53E-01,1.22E+00,4.58E-01,-9.71E-01
142,FER142,FER,1.06E+00,-6.64E-01,1.13E+00,1.29E+00,2.55E-01,-1.72E+00,1.25E+00,-1.11E+00,5.44E-01,4.07E-01,1.25E+00,1.04E+00,1.93E+00,-1.62E+00,1.16E+00,-5.60E-01,7.56E-01,1.10E-01,5.20E-01,1.51E+00,5.72E-01,6.56E-01,6.84E-01,1.54E-01,-9.41E-01
143,FER143,FER,1.23E+00,-4.66E-01,1.17E+00,1.71E+00,4.47E-01,-6.81E-01,1.17E+00,-1.11E+00,5.84E-01,5.21E-01,1.19E+00,1.16E+00,1.84E+00,-1.88E+00,1.21E+00,-9.53E-01,4.43E-01,-5.89E-01,4.76E-01,6.88E-01,4.64E-01,1.53E-01,1.11E+00,1.54E-01,-5.28E-01
